===============================================================================
EXTENSION NAME : linecount
EXTENSION VERSION : 0.1.7
-------------------------------------------------------------------------------
count time : 2023-11-02 17:43:53
count workspace : f:\Discord\buildathon
total files : 98
total code lines : 5637
total comment lines : 176
total blank lines : 229

.env, code is 8, comment is 0, blank is 1.
.eslintrc.json, code is 19, comment is 0, blank is 0.
.gitignore, code is 10, comment is 0, blank is 0.
.prettierrc, code is 10, comment is 0, blank is 0.
cert\snowball.pem, code is 82, comment is 0, blank is 0.
dist\ecosystem.config.js, code is 53, comment is 4, blank is 0.
dist\src\apps\client.js, code is 92, comment is 2, blank is 0.
dist\src\apps\server.js, code is 13, comment is 0, blank is 0.
dist\src\client.js, code is 19, comment is 0, blank is 0.
dist\src\constants\global.js, code is 17, comment is 9, blank is 0.
dist\src\constants\MQ.js, code is 17, comment is 4, blank is 0.
dist\src\constants\statusCodes.js, code is 26, comment is 0, blank is 0.
dist\src\data\profanity.js, code is 453, comment is 0, blank is 0.
dist\src\database\index.js, code is 1, comment is 0, blank is 0.
dist\src\functions\create.channel.js, code is 1, comment is 0, blank is 0.
dist\src\functions\profanity.filter.js, code is 46, comment is 1, blank is 0.
dist\src\functions\translate.filter.js, code is 6, comment is 2, blank is 0.
dist\src\handlers\command.handler.js, code is 60, comment is 6, blank is 0.
dist\src\handlers\event.handler.js, code is 61, comment is 3, blank is 0.
dist\src\interactions\commands\admin\create.js, code is 12, comment is 1, blank is 0.
dist\src\interactions\commands\admin\setconf.js, code is 10, comment is 1, blank is 0.
dist\src\interactions\commands\admin\setup.js, code is 43, comment is 4, blank is 3.
dist\src\interactions\commands\members\duck.js, code is 12, comment is 1, blank is 0.
dist\src\interactions\commands\members\invite.js, code is 12, comment is 1, blank is 0.
dist\src\interactions\commands\members\play.js, code is 12, comment is 1, blank is 0.
dist\src\interactions\commands\members\queue.js, code is 12, comment is 1, blank is 0.
dist\src\interactions\commands\members\throw.js, code is 21, comment is 4, blank is 0.
dist\src\interactions\events\interaction\create.js, code is 35, comment is 2, blank is 0.
dist\src\interactions\events\messages\create.js, code is 21, comment is 3, blank is 0.
dist\src\interfaces\games\index.js, code is 2, comment is 0, blank is 0.
dist\src\interfaces\members\index.js, code is 2, comment is 0, blank is 0.
dist\src\MQ\connect.js, code is 34, comment is 0, blank is 0.
dist\src\MQ\listeners\commands.MQ.js, code is 1, comment is 0, blank is 0.
dist\src\MQ\listeners\game.MQ.js, code is 1, comment is 0, blank is 0.
dist\src\MQ\listeners\index.js, code is 1, comment is 0, blank is 0.
dist\src\utils\env.process.js, code is 8, comment is 0, blank is 0.
dist\src\utils\logger.js, code is 153, comment is 13, blank is 0.
dist\src\utils\processes.js, code is 34, comment is 7, blank is 0.
ecosystem.config.js, code is 52, comment is 4, blank is 4.
logs\.5f80452cd706cb705eb9f873e8a0f34e8d0a9993-audit.json, code is 25, comment is 0, blank is 0.
logs\2023-10-30.log, it is a binary file.
logs\2023-10-31.log, it is a binary file.
logs\2023-11-02.log, it is a binary file.
logs\pm2\error.log, code is 0, comment is 0, blank is 0.
logs\pm2\out.log, code is 69, comment is 0, blank is 0.
package-lock.json, code is 2241, comment is 0, blank is 0.
package.json, code is 37, comment is 0, blank is 0.
readme.md, code is 25, comment is 9, blank is 18.
Snowball pfp.psd, it is a binary file.
src\API\index.ts, code is 9, comment is 0, blank is 3.
src\API\middleware\apiUsage.ts, code is 15, comment is 1, blank is 3.
src\API\routes\game\index.ts, code is 8, comment is 0, blank is 3.
src\API\routes\game\leave.ts, code is 34, comment is 0, blank is 5.
